selling_price,year,km_driven,transmission_type,mileage,engine,max_power,seats,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol
1.2,2012.0,120000,1,19.7,796.0,46.3,5.0,0,1,0,0,0,0,0,1
5.5,2016.0,20000,1,18.9,1197.0,82.0,5.0,0,1,0,0,0,0,0,1
2.15,2010.0,60000,1,17.0,1197.0,80.0,5.0,0,1,0,0,0,0,0,1
2.26,2012.0,37000,1,20.92,998.0,67.1,5.0,0,1,0,0,0,0,0,1
5.7,2015.0,30000,1,22.77,1498.0,98.59,5.0,1,0,0,0,1,0,0,0
3.5,2013.0,35000,1,18.9,998.0,67.1,5.0,0,1,0,0,0,0,0,1
3.15,2013.0,40000,1,20.36,1197.0,78.9,5.0,1,0,0,0,0,0,0,1
4.1,2018.0,17512,1,20.51,998.0,67.04,5.0,1,0,0,0,0,0,0,1
10.5,2019.0,20000,0,18.15,998.0,118.35,5.0,0,1,0,0,0,0,0,1
5.75,2017.0,70000,1,18.49,1493.0,100.0,7.0,1,0,0,0,1,0,0,0
3.05,2015.0,50000,1,19.09,1405.0,69.01,5.0,0,1,0,0,1,0,0,0
11.5,2019.0,18000,1,20.37,1461.0,108.49,5.0,0,1,0,0,1,0,0,0
5.11,2017.0,28321,1,16.6,1197.0,85.0,5.0,1,0,0,0,0,0,0,1
4.1,2016.0,27000,0,19.34,1198.0,76.0,5.0,1,0,0,0,0,0,0,1
4.25,2013.0,65278,1,22.32,1582.0,126.32,5.0,1,0,0,0,1,0,0,0
7.5,2016.0,50000,1,19.64,1461.0,108.45,5.0,0,1,0,0,1,0,0,0
32.5,2017.0,6000,0,14.41,1998.0,189.08,5.0,1,0,0,0,0,0,0,1
6.5,2016.0,76000,1,28.09,1248.0,88.5,5.0,1,0,0,0,1,0,0,0
6.27,2016.0,20000,1,25.2,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
14.25,2014.0,65000,0,19.27,2143.0,170.0,5.0,1,0,0,0,1,0,0,0
4.25,2014.0,62200,1,28.4,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
6.05,2013.0,110000,1,12.99,2494.0,100.6,8.0,0,1,0,0,1,0,0,0
6.0,2015.0,20000,1,21.4,1197.0,83.1,5.0,0,1,0,0,0,0,0,1
5.75,2016.0,40000,1,20.85,1197.0,83.14,5.0,0,1,0,0,0,0,0,1
2.6,2012.0,97000,1,17.8,1248.0,76.0,5.0,0,1,0,0,1,0,0,0
4.25,2013.0,47000,1,16.09,1598.0,103.2,5.0,1,0,0,0,0,0,0,1
2.3,2013.0,25000,1,20.92,998.0,67.1,5.0,1,0,0,0,0,0,0,1
12.25,2019.0,15000,1,19.67,1582.0,126.2,5.0,0,1,0,0,1,0,0,0
3.75,2010.0,56823,1,14.02,2179.0,118.3,8.0,1,0,0,0,1,0,0,0
7.5,2015.0,50000,1,17.4,1497.0,117.3,5.0,0,1,0,0,0,0,0,1
3.5,2011.0,25000,1,13.6,2523.0,63.0,7.0,0,1,0,0,1,0,0,0
6.0,2015.0,90000,1,26.59,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
3.9,2013.0,45000,1,26.59,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
1.45,2007.0,77253,1,17.7,1497.0,78.0,5.0,1,0,0,0,0,0,0,1
7.0,2018.0,25000,1,17.19,1197.0,81.86,5.0,0,1,0,0,0,0,0,1
11.5,2013.0,110000,1,13.0,2982.0,168.5,7.0,0,1,0,0,1,0,0,0
3.4,2017.0,30000,1,23.01,999.0,67.0,5.0,0,1,0,0,0,0,0,1
4.65,2016.0,39993,1,18.6,1199.0,88.76,5.0,1,0,0,0,0,0,0,1
1.25,2009.0,80000,1,17.92,1086.0,62.1,5.0,0,1,0,0,0,0,0,1
6.0,2012.0,185000,1,15.1,2179.0,140.0,7.0,0,1,0,0,1,0,0,0
3.8,2013.0,90000,1,23.4,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
4.0,2009.0,60000,1,14.0,2498.0,112.0,8.0,0,1,0,0,1,0,0,0
3.0,2014.0,90000,1,22.1,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
5.0,2015.0,20000,1,19.1,1197.0,82.0,5.0,0,1,0,0,0,0,0,1
